Movie Name,Release Year,Actor 1 Age,Actor 2 Age,Actor 1 Gender,Actor 2 Gender,Age Difference,Older Actor,Avg Actor Age,Age Group,production_budget,profit,Profit (Millions),roi
Dirty Grandpa,2016,73,32,man,woman,41,man,52.5,51–60,11500000,93578449,94,8.137256434782609
Wild Target,2010,61,27,man,woman,34,man,44,41–50,8000000,-2685806,-3,-0.33572575
Stone,2010,67,35,man,woman,32,man,51,51–60,22000000,-17934980,-18,-0.8152263636363636
Arbitrage,2012,63,34,man,woman,29,man,48.5,41–50,12000000,23830713,24,1.98589275
Gangster Squad,2013,53,25,man,woman,28,man,39,31–40,60000000,44100903,44,0.73501505
Freeheld,2015,55,28,woman,woman,27,woman,41.5,41–50,7000000,-5267772,-5,-0.7525388571428572
Black Mass,2015,52,26,man,woman,26,man,39,31–40,53000000,45837872,46,0.8648655094339622
Knock Knock,2015,51,26,man,woman,25,man,38.5,31–40,2000000,4328516,4,2.164258
Dark Shadows,2012,49,25,man,woman,24,man,37,31–40,150000000,88202668,88,0.5880177866666667
Knock Knock,2015,51,27,man,woman,24,man,39,31–40,2000000,4328516,4,2.164258
A Walk in the Woods,2015,79,56,man,woman,23,man,67.5,60+,8000000,29119358,29,3.63991975
Flight,2012,58,35,man,woman,23,man,46.5,41–50,31000000,129558438,130,4.179304451612904
Seeking a Friend for the End of the World,2012,50,27,man,woman,23,man,38.5,31–40,10000000,1766959,2,0.1766959
The Rum Diary,2011,48,25,man,woman,23,man,36.5,31–40,45000000,-23455268,-23,-0.5212281777777777
Focus,2015,47,25,man,woman,22,man,36,31–40,65000000,103065700,103,1.5856261538461538
The Mummy,2017,55,33,man,woman,22,man,44,41–50,195000000,214953905,215,1.102327717948718
The Other Woman,2014,44,22,man,woman,22,man,33,31–40,40000000,155111193,155,3.877779825
Don Jon,2013,32,53,man,woman,21,woman,42.5,41–50,5500000,35768579,36,6.503378
Edge of Tomorrow,2014,52,31,man,woman,21,man,41.5,41–50,178000000,192541256,193,1.0816924494382023
Water for Elephants,2011,55,35,man,woman,20,man,45,41–50,38000000,78809717,79,2.0739399210526317
American Pie,1999,19,38,man,woman,19,woman,28.5,15–30,12000000,222723148,223,18.560262333333338
Baby Driver,2017,46,27,man,woman,19,man,36.5,31–40,34000000,194104185,194,5.708946617647059
Gone Girl,2014,42,23,man,woman,19,man,32.5,31–40,61000000,307567189,308,5.042085065573771
Skyfall,2012,44,25,man,woman,19,man,34.5,31–40,200000000,910526981,911,4.552634905
Suicide Squad,2016,45,26,man,woman,19,man,35.5,31–40,175000000,571059887,571,3.2631993542857143
Transcendence,2014,51,32,man,woman,19,man,41.5,41–50,100000000,3039258,3,0.03039258
Avengers: Infinity War,2018,47,29,man,woman,18,man,38,31–40,300000000,1748134200,1748,5.827114
Big Eyes,2014,58,40,man,woman,18,man,49,41–50,10000000,17317872,17,1.7317872
St. Vincent,2014,64,46,man,woman,18,man,55,51–60,13000000,41837234,42,3.2182487692307693
The Rum Diary,2011,43,25,man,woman,18,man,34,31–40,45000000,-23455268,-23,-0.5212281777777777
47 Ronin,2013,49,32,man,woman,17,man,40.5,41–50,175000000,-23283185,-23,-0.13304677142857144
Avengers: Age of Ultron,2015,48,31,man,woman,17,man,39.5,31–40,330600000,1072413963,1072,3.2438413883847548
Draft Day,2014,59,42,man,woman,17,man,50.5,51–60,25000000,4847480,5,0.1938992
Green Book,2018,60,43,man,woman,17,man,51.5,51–60,23000000,299034439,299,13.001497347826088
Knock Knock,2015,51,34,man,woman,17,man,42.5,41–50,2000000,4328516,4,2.164258
Oblivion,2013,51,34,man,woman,17,man,42.5,41–50,120000000,167916633,168,1.399305275
Rock of Ages,2012,54,37,man,man,17,man,45.5,41–50,70000000,-8968068,-9,-0.12811525714285715
Spectre,2015,47,30,man,woman,17,man,38.5,31–40,300000000,579620923,580,1.9320697433333336
Spectre,2015,47,30,man,woman,17,man,38.5,31–40,300000000,579620923,580,1.9320697433333336
The Girl on the Train,2016,45,28,man,woman,17,man,36.5,31–40,45000000,129278214,129,2.8728492
The Girl on the Train,2016,45,28,man,woman,17,man,36.5,31–40,45000000,129278214,129,2.8728492
The Girl with the Dragon Tattoo,2011,43,26,man,woman,17,man,34.5,31–40,90000000,149373970,149,1.6597107777777778
The Wolverine,2013,45,28,man,woman,17,man,36.5,31–40,115000000,301456852,301,2.6213639304347827
A Thousand Words,2012,51,35,man,woman,16,man,43,41–50,40000000,-19209514,-19,-0.48023785
American Hustle,2013,39,23,man,woman,16,man,31,31–40,40000000,217878294,218,5.44695735
American Hustle,2013,39,23,man,woman,16,man,31,31–40,40000000,217878294,218,5.44695735
Carol,2015,46,30,woman,woman,16,woman,38,31–40,11800000,31043521,31,2.6308068644067797
Carol,2015,46,30,woman,woman,16,woman,38,31–40,11800000,31043521,31,2.6308068644067797
Now You See Me,2013,46,30,man,woman,16,man,38,31–40,75000000,267769200,268,3.570256
Rock of Ages,2012,50,34,man,woman,16,man,42,41–50,70000000,-8968068,-9,-0.12811525714285715
Safe Haven,2013,41,25,man,woman,16,man,33,31–40,28000000,66050951,66,2.358962535714286
The Diary of a Teenage Girl,2015,39,23,man,woman,16,man,31,31–40,2000000,279959,0,0.1399795
